抽せん日,本数字,回別,ストレート,ボックス,セット(ストレート),セット(ボックス),ミニ
2013-09-02,"[5, 0, 1]",第3708回,,,,,
2013-09-03,"[2, 0, 4]",第3709回,,,,,
2013-09-04,"[9, 7, 5]",第3710回,,,,,
2013-09-05,"[5, 3, 6]",第3711回,,,,,
2013-09-06,"[7, 9, 1]",第3712回,,,,,
2013-09-09,"[5, 4, 7]",第3713回,,,,,
2013-09-10,"[3, 0, 0]",第3714回,,,,,
2013-09-11,"[1, 9, 2]",第3715回,,,,,
2013-09-12,"[5, 3, 7]",第3716回,,,,,
2013-09-13,"[5, 1, 1]",第3717回,,,,,
2013-09-16,"[1, 3, 7]",第3718回,,,,,
2013-09-17,"[7, 6, 0]",第3719回,,,,,
2013-09-18,"[5, 9, 5]",第3720回,,,,,
2013-09-19,"[7, 8, 9]",第3721回,,,,,
2013-09-20,"[0, 3, 9]",第3722回,,,,,
2013-09-23,"[3, 8, 9]",第3723回,,,,,
2013-09-24,"[6, 1, 3]",第3724回,,,,,
2013-09-25,"[8, 2, 5]",第3725回,,,,,
2013-09-26,"[2, 3, 6]",第3726回,,,,,
2013-09-27,"[8, 9, 5]",第3727回,,,,,
2013-09-30,"[8, 1, 7]",第3728回,,,,,
2013-10-01,"[1, 1, 3]",第3729回,,,,,
2013-10-02,"[0, 2, 1]",第3730回,,,,,
2013-10-03,"[9, 9, 6]",第3731回,,,,,
2013-10-04,"[8, 6, 5]",第3732回,,,,,
2013-10-07,"[6, 9, 4]",第3733回,,,,,
2013-10-08,"[7, 0, 8]",第3734回,,,,,
2013-10-09,"[4, 5, 1]",第3735回,,,,,
2013-10-10,"[1, 1, 0]",第3736回,,,,,
2013-10-11,"[4, 8, 4]",第3737回,,,,,
2013-10-14,"[5, 7, 2]",第3738回,,,,,
2013-10-15,"[3, 5, 5]",第3739回,,,,,
2013-10-16,"[2, 4, 9]",第3740回,,,,,
2013-10-17,"[8, 9, 6]",第3741回,,,,,
2013-10-18,"[1, 3, 9]",第3742回,,,,,
2013-10-21,"[0, 7, 7]",第3743回,,,,,
2013-10-22,"[5, 0, 3]",第3744回,,,,,
2013-10-23,"[9, 0, 7]",第3745回,,,,,
2013-10-24,"[3, 0, 6]",第3746回,,,,,
2013-10-25,"[6, 9, 3]",第3747回,,,,,
2013-10-28,"[4, 5, 4]",第3748回,,,,,
2013-10-29,"[1, 4, 0]",第3749回,,,,,
2013-10-30,"[3, 4, 8]",第3750回,,,,,
2013-10-31,"[0, 5, 2]",第3751回,,,,,
2013-11-01,"[5, 3, 5]",第3752回,,,,,
2013-11-04,"[9, 5, 2]",第3753回,,,,,
2013-11-05,"[6, 5, 0]",第3754回,,,,,
2013-11-06,"[5, 2, 4]",第3755回,,,,,
2013-11-07,"[6, 9, 4]",第3756回,,,,,
2013-11-08,"[3, 8, 0]",第3757回,,,,,
2013-11-11,"[8, 8, 5]",第3758回,,,,,
2013-11-12,"[4, 7, 0]",第3759回,,,,,
2013-11-13,"[9, 1, 0]",第3760回,,,,,
2013-11-14,"[0, 1, 4]",第3761回,,,,,
2013-11-15,"[6, 3, 8]",第3762回,,,,,
2013-11-18,"[4, 3, 9]",第3763回,,,,,
2013-11-19,"[4, 8, 4]",第3764回,,,,,
2013-11-20,"[7, 2, 1]",第3765回,,,,,
2013-11-21,"[9, 2, 2]",第3766回,,,,,
2013-11-22,"[9, 8, 3]",第3767回,,,,,
2013-11-25,"[0, 8, 1]",第3768回,,,,,
2013-11-26,"[9, 7, 5]",第3769回,,,,,
2013-11-27,"[7, 2, 4]",第3770回,,,,,
2013-11-28,"[2, 4, 4]",第3771回,,,,,
2013-11-29,"[8, 4, 2]",第3772回,,,,,
2013-12-02,"[4, 2, 1]",第3773回,,,,,
2013-12-03,"[7, 5, 2]",第3774回,,,,,
2013-12-04,"[9, 2, 8]",第3775回,,,,,
2013-12-05,"[6, 7, 4]",第3776回,,,,,
2013-12-06,"[4, 4, 3]",第3777回,,,,,
2013-12-09,"[5, 4, 2]",第3778回,,,,,
2013-12-10,"[0, 2, 3]",第3779回,,,,,
2013-12-11,"[6, 2, 2]",第3780回,,,,,
2013-12-12,"[3, 7, 2]",第3781回,,,,,
2013-12-13,"[1, 8, 6]",第3782回,,,,,
2013-12-16,"[5, 1, 5]",第3783回,,,,,
2013-12-17,"[5, 7, 6]",第3784回,,,,,
2013-12-18,"[1, 0, 7]",第3785回,,,,,
2013-12-19,"[5, 4, 0]",第3786回,,,,,
2013-12-20,"[8, 7, 9]",第3787回,,,,,
2013-12-23,"[9, 9, 7]",第3788回,,,,,
2013-12-24,"[4, 5, 6]",第3789回,,,,,
2013-12-25,"[2, 7, 1]",第3790回,,,,,
2013-12-26,"[6, 7, 2]",第3791回,,,,,
2013-12-27,"[1, 2, 7]",第3792回,,,,,
2013-12-30,"[5, 4, 9]",第3793回,,,,,
2014-01-06,"[0, 9, 8]",第3794回,,,,,
2014-01-07,"[5, 7, 8]",第3795回,,,,,
2014-01-08,"[7, 2, 1]",第3796回,,,,,
2014-01-09,"[6, 1, 3]",第3797回,,,,,
2014-01-10,"[0, 0, 5]",第3798回,,,,,
2014-01-13,"[1, 3, 6]",第3799回,,,,,
2014-01-14,"[5, 6, 0]",第3800回,,,,,
2014-01-15,"[5, 0, 6]",第3801回,,,,,
2014-01-16,"[6, 4, 1]",第3802回,,,,,
2014-01-17,"[7, 2, 0]",第3803回,,,,,
2014-01-20,"[9, 2, 1]",第3804回,,,,,
2014-01-21,"[1, 1, 9]",第3805回,,,,,
2014-01-22,"[1, 5, 4]",第3806回,,,,,
2014-01-23,"[3, 1, 4]",第3807回,,,,,
2014-01-24,"[3, 1, 1]",第3808回,,,,,
2014-01-27,"[1, 3, 8]",第3809回,,,,,
2014-01-28,"[3, 6, 9]",第3810回,,,,,
2014-01-29,"[0, 7, 0]",第3811回,,,,,
2014-01-30,"[3, 2, 7]",第3812回,,,,,
2014-01-31,"[7, 2, 9]",第3813回,,,,,
2014-02-03,"[0, 4, 4]",第3814回,,,,,
2014-02-04,"[8, 6, 1]",第3815回,,,,,
2014-02-05,"[2, 0, 0]",第3816回,,,,,
2014-02-06,"[0, 9, 5]",第3817回,,,,,
2014-02-07,"[2, 6, 4]",第3818回,,,,,
2014-02-10,"[4, 2, 3]",第3819回,,,,,
2014-02-11,"[3, 4, 3]",第3820回,,,,,
2014-02-12,"[9, 5, 1]",第3821回,,,,,
2014-02-13,"[8, 0, 5]",第3822回,,,,,
2014-02-14,"[7, 0, 9]",第3823回,,,,,
2014-02-17,"[2, 7, 1]",第3824回,,,,,
2014-02-18,"[6, 8, 7]",第3825回,,,,,
2014-02-19,"[7, 2, 2]",第3826回,,,,,
2014-02-20,"[0, 9, 9]",第3827回,,,,,
2014-02-21,"[1, 7, 2]",第3828回,,,,,
2014-02-24,"[2, 8, 7]",第3829回,,,,,
2014-02-25,"[0, 6, 1]",第3830回,,,,,
2014-02-26,"[2, 7, 2]",第3831回,,,,,
2014-02-27,"[1, 7, 1]",第3832回,,,,,
2014-02-28,"[1, 0, 1]",第3833回,,,,,
2014-03-03,"[9, 9, 2]",第3834回,,,,,
2014-03-04,"[8, 3, 4]",第3835回,,,,,
2014-03-05,"[6, 2, 4]",第3836回,,,,,
2014-03-06,"[0, 8, 7]",第3837回,,,,,
2014-03-07,"[1, 6, 9]",第3838回,,,,,
2014-03-10,"[9, 7, 5]",第3839回,,,,,
2014-03-11,"[6, 6, 1]",第3840回,,,,,
2014-03-12,"[5, 5, 8]",第3841回,,,,,
2014-03-13,"[6, 1, 9]",第3842回,,,,,
2014-03-14,"[7, 8, 4]",第3843回,,,,,
2014-03-17,"[1, 9, 8]",第3844回,,,,,
2014-03-18,"[7, 2, 9]",第3845回,,,,,
2014-03-19,"[0, 4, 5]",第3846回,,,,,
2014-03-20,"[6, 0, 8]",第3847回,,,,,
2014-03-21,"[7, 8, 7]",第3848回,,,,,
2014-03-24,"[2, 6, 3]",第3849回,,,,,
2014-03-25,"[6, 3, 6]",第3850回,,,,,
2014-03-26,"[7, 1, 0]",第3851回,,,,,
2014-03-27,"[8, 4, 1]",第3852回,,,,,
2014-03-28,"[6, 4, 3]",第3853回,,,,,
2014-03-31,"[0, 9, 8]",第3854回,,,,,
2014-04-01,"[1, 0, 8]",第3855回,,,,,
2014-04-02,"[6, 0, 6]",第3856回,,,,,
2014-04-03,"[8, 5, 8]",第3857回,,,,,
2014-04-04,"[7, 4, 0]",第3858回,,,,,
2014-04-07,"[9, 4, 2]",第3859回,,,,,
2014-04-08,"[7, 0, 1]",第3860回,,,,,
2014-04-09,"[2, 9, 5]",第3861回,,,,,
2014-04-10,"[8, 0, 8]",第3862回,,,,,
2014-04-11,"[1, 3, 5]",第3863回,,,,,
2014-04-14,"[1, 2, 3]",第3864回,,,,,
2014-04-15,"[1, 6, 0]",第3865回,,,,,
2014-04-16,"[6, 3, 7]",第3866回,,,,,
2014-04-17,"[4, 9, 3]",第3867回,,,,,
2014-04-18,"[7, 2, 5]",第3868回,,,,,
2014-04-21,"[0, 1, 7]",第3869回,,,,,
2014-04-22,"[2, 9, 0]",第3870回,,,,,
2014-04-23,"[9, 5, 1]",第3871回,,,,,
2014-04-24,"[8, 0, 9]",第3872回,,,,,
2014-04-25,"[5, 8, 9]",第3873回,,,,,
2014-04-28,"[4, 4, 2]",第3874回,,,,,
2014-04-29,"[1, 9, 9]",第3875回,,,,,
2014-04-30,"[4, 9, 5]",第3876回,,,,,
2014-05-01,"[8, 0, 8]",第3877回,,,,,
2014-05-02,"[3, 3, 6]",第3878回,,,,,
2014-05-05,"[9, 9, 4]",第3879回,,,,,
2014-05-06,"[8, 0, 6]",第3880回,,,,,
2014-05-07,"[2, 9, 7]",第3881回,,,,,
2014-05-08,"[3, 5, 3]",第3882回,,,,,
2014-05-09,"[1, 5, 4]",第3883回,,,,,
2014-05-12,"[3, 6, 7]",第3884回,,,,,
2014-05-13,"[9, 3, 4]",第3885回,,,,,
2014-05-14,"[4, 6, 3]",第3886回,,,,,
2014-05-15,"[1, 5, 3]",第3887回,,,,,
2014-05-16,"[0, 6, 5]",第3888回,,,,,
2014-05-19,"[8, 3, 6]",第3889回,,,,,
2014-05-20,"[2, 8, 1]",第3890回,,,,,
2014-05-21,"[7, 4, 6]",第3891回,,,,,
2014-05-22,"[4, 3, 3]",第3892回,,,,,
2014-05-23,"[0, 3, 4]",第3893回,,,,,
2014-05-26,"[0, 8, 6]",第3894回,,,,,
2014-05-27,"[8, 4, 5]",第3895回,,,,,
2014-05-28,"[4, 7, 4]",第3896回,,,,,
2014-05-29,"[7, 6, 1]",第3897回,,,,,
2014-05-30,"[8, 3, 9]",第3898回,,,,,
2014-06-02,"[4, 6, 8]",第3899回,,,,,
2014-06-03,"[3, 2, 7]",第3900回,,,,,
2014-06-04,"[7, 6, 9]",第3901回,,,,,
2014-06-05,"[7, 9, 0]",第3902回,,,,,
2014-06-06,"[9, 2, 8]",第3903回,,,,,
2014-06-09,"[6, 2, 0]",第3904回,,,,,
2014-06-10,"[4, 3, 1]",第3905回,,,,,
2014-06-11,"[3, 3, 4]",第3906回,,,,,
2014-06-12,"[4, 2, 9]",第3907回,,,,,
2014-06-13,"[6, 9, 0]",第3908回,,,,,
2014-06-16,"[7, 9, 7]",第3909回,,,,,
2014-06-17,"[2, 2, 6]",第3910回,,,,,
2014-06-18,"[0, 8, 4]",第3911回,,,,,
2014-06-19,"[5, 6, 8]",第3912回,,,,,
2014-06-20,"[6, 4, 4]",第3913回,,,,,
2014-06-23,"[3, 3, 8]",第3914回,,,,,
2014-06-24,"[9, 5, 5]",第3915回,,,,,
2014-06-25,"[7, 3, 2]",第3916回,,,,,
2014-06-26,"[1, 0, 1]",第3917回,,,,,
2014-06-27,"[7, 8, 5]",第3918回,,,,,
2014-06-30,"[0, 9, 2]",第3919回,,,,,
2014-07-01,"[5, 7, 1]",第3920回,,,,,
2014-07-02,"[9, 5, 3]",第3921回,,,,,
2014-07-03,"[3, 0, 7]",第3922回,,,,,
2014-07-04,"[5, 8, 3]",第3923回,,,,,
2014-07-07,"[0, 7, 6]",第3924回,,,,,
2014-07-08,"[8, 5, 6]",第3925回,,,,,
2014-07-09,"[3, 8, 9]",第3926回,,,,,
2014-07-10,"[6, 4, 7]",第3927回,,,,,
2014-07-11,"[3, 9, 8]",第3928回,,,,,
2014-07-14,"[0, 6, 1]",第3929回,,,,,
2014-07-15,"[4, 9, 5]",第3930回,,,,,
2014-07-16,"[2, 3, 9]",第3931回,,,,,
2014-07-17,"[6, 2, 1]",第3932回,,,,,
2014-07-18,"[7, 9, 0]",第3933回,,,,,
2014-07-21,"[9, 5, 4]",第3934回,,,,,
2014-07-22,"[1, 9, 7]",第3935回,,,,,
2014-07-23,"[0, 5, 9]",第3936回,,,,,
2014-07-24,"[0, 7, 0]",第3937回,,,,,
2014-07-25,"[4, 9, 8]",第3938回,,,,,
2014-07-28,"[1, 9, 0]",第3939回,,,,,
2014-07-29,"[2, 3, 4]",第3940回,,,,,
2014-07-30,"[3, 9, 2]",第3941回,,,,,
2014-07-31,"[6, 4, 9]",第3942回,,,,,
2014-08-01,"[9, 4, 0]",第3943回,,,,,
2014-08-04,"[7, 6, 4]",第3944回,,,,,
2014-08-05,"[9, 5, 5]",第3945回,,,,,
2014-08-06,"[9, 3, 3]",第3946回,,,,,
2014-08-07,"[8, 5, 7]",第3947回,,,,,
2014-08-08,"[0, 3, 1]",第3948回,,,,,
2014-08-11,"[7, 9, 3]",第3949回,,,,,
2014-08-12,"[4, 4, 8]",第3950回,,,,,
2014-08-13,"[5, 2, 8]",第3951回,,,,,
2014-08-14,"[3, 7, 1]",第3952回,,,,,
2014-08-15,"[1, 2, 2]",第3953回,,,,,
2014-08-18,"[4, 2, 5]",第3954回,,,,,
2014-08-19,"[7, 0, 1]",第3955回,,,,,
2014-08-20,"[8, 5, 2]",第3956回,,,,,
2014-08-21,"[0, 5, 9]",第3957回,,,,,
2014-08-22,"[6, 8, 5]",第3958回,,,,,
2014-08-25,"[1, 0, 5]",第3959回,,,,,
2014-08-26,"[9, 5, 8]",第3960回,,,,,
2014-08-27,"[3, 1, 4]",第3961回,,,,,
2014-08-28,"[3, 7, 6]",第3962回,,,,,
2014-08-29,"[6, 5, 3]",第3963回,,,,,
2014-09-01,"[1, 5, 1]",第3964回,,,,,
2014-09-02,"[7, 2, 1]",第3965回,,,,,
2014-09-03,"[0, 5, 8]",第3966回,,,,,
2014-09-04,"[5, 8, 6]",第3967回,,,,,
2014-09-05,"[6, 2, 1]",第3968回,,,,,
2014-09-08,"[8, 0, 2]",第3969回,,,,,
2014-09-09,"[9, 8, 3]",第3970回,,,,,
2014-09-10,"[8, 1, 6]",第3971回,,,,,
2014-09-11,"[6, 4, 4]",第3972回,,,,,
2014-09-12,"[2, 4, 9]",第3973回,,,,,
2014-09-15,"[5, 0, 9]",第3974回,,,,,
2014-09-16,"[2, 8, 9]",第3975回,,,,,
2014-09-17,"[9, 2, 7]",第3976回,,,,,
2014-09-18,"[4, 9, 8]",第3977回,,,,,
2014-09-19,"[1, 8, 1]",第3978回,,,,,
2014-09-22,"[1, 7, 4]",第3979回,,,,,
2014-09-23,"[4, 6, 8]",第3980回,,,,,
2014-09-24,"[6, 9, 7]",第3981回,,,,,
2014-09-25,"[1, 1, 3]",第3982回,,,,,
2014-09-26,"[5, 1, 7]",第3983回,,,,,
2014-09-29,"[7, 8, 6]",第3984回,,,,,
2014-09-30,"[0, 6, 6]",第3985回,,,,,
2014-10-01,"[3, 5, 4]",第3986回,,,,,
2014-10-02,"[0, 4, 5]",第3987回,,,,,
2014-10-03,"[7, 4, 5]",第3988回,,,,,
2014-10-06,"[0, 6, 5]",第3989回,,,,,
2014-10-07,"[8, 9, 0]",第3990回,,,,,
2014-10-08,"[1, 4, 8]",第3991回,,,,,
2014-10-09,"[1, 7, 8]",第3992回,,,,,
2014-10-10,"[7, 8, 2]",第3993回,,,,,
2014-10-13,"[5, 0, 9]",第3994回,,,,,
2014-10-14,"[3, 6, 9]",第3995回,,,,,
2014-10-15,"[8, 9, 3]",第3996回,,,,,
2014-10-16,"[9, 6, 3]",第3997回,,,,,
2014-10-17,"[9, 0, 8]",第3998回,,,,,
2014-10-20,"[7, 1, 7]",第3999回,,,,,
2014-10-21,"[4, 0, 4]",第4000回,,,,,
2014-10-22,"[3, 7, 3]",第4001回,,,,,
2014-10-23,"[3, 3, 6]",第4002回,,,,,
2014-10-24,"[7, 9, 9]",第4003回,,,,,
2014-10-27,"[4, 4, 4]",第4004回,,,,,
2014-10-28,"[2, 6, 0]",第4005回,,,,,
2014-10-29,"[0, 0, 9]",第4006回,,,,,
2014-10-30,"[2, 7, 4]",第4007回,,,,,
2014-10-31,"[8, 8, 5]",第4008回,,,,,
2014-11-03,"[0, 4, 0]",第4009回,,,,,
2014-11-04,"[8, 3, 2]",第4010回,,,,,
2014-11-05,"[8, 6, 1]",第4011回,,,,,
2014-11-06,"[5, 5, 1]",第4012回,,,,,
2014-11-07,"[8, 6, 6]",第4013回,,,,,
2014-11-10,"[6, 1, 1]",第4014回,,,,,
2014-11-11,"[1, 8, 1]",第4015回,,,,,
2014-11-12,"[1, 1, 2]",第4016回,,,,,
2014-11-13,"[2, 7, 7]",第4017回,,,,,
2014-11-14,"[1, 9, 4]",第4018回,,,,,
2014-11-17,"[3, 3, 5]",第4019回,,,,,
2014-11-18,"[6, 1, 8]",第4020回,,,,,
2014-11-19,"[0, 9, 5]",第4021回,,,,,
2014-11-20,"[5, 3, 6]",第4022回,,,,,
2014-11-21,"[4, 2, 6]",第4023回,,,,,
2014-11-24,"[0, 0, 0]",第4024回,,,,,
2014-11-25,"[3, 0, 3]",第4025回,,,,,
2014-11-26,"[3, 7, 2]",第4026回,,,,,
2014-11-27,"[3, 8, 4]",第4027回,,,,,
2014-11-28,"[9, 9, 0]",第4028回,,,,,
2014-12-01,"[9, 1, 3]",第4029回,,,,,
2014-12-02,"[7, 2, 5]",第4030回,,,,,
2014-12-03,"[0, 7, 6]",第4031回,,,,,
2014-12-04,"[9, 1, 6]",第4032回,,,,,
2014-12-05,"[3, 8, 4]",第4033回,,,,,
2014-12-08,"[9, 0, 0]",第4034回,,,,,
2014-12-09,"[3, 1, 2]",第4035回,,,,,
2014-12-10,"[5, 0, 1]",第4036回,,,,,
2014-12-11,"[8, 4, 0]",第4037回,,,,,
2014-12-12,"[4, 1, 0]",第4038回,,,,,
2014-12-15,"[5, 1, 1]",第4039回,,,,,
2014-12-16,"[8, 8, 9]",第4040回,,,,,
2014-12-17,"[2, 3, 5]",第4041回,,,,,
2014-12-18,"[9, 8, 3]",第4042回,,,,,
2014-12-19,"[9, 2, 9]",第4043回,,,,,
2014-12-22,"[8, 5, 3]",第4044回,,,,,
2014-12-23,"[3, 3, 0]",第4045回,,,,,
2014-12-24,"[5, 1, 6]",第4046回,,,,,
2014-12-25,"[7, 2, 8]",第4047回,,,,,
2014-12-26,"[1, 6, 7]",第4048回,,,,,
2014-12-29,"[5, 3, 7]",第4049回,,,,,
2014-12-30,"[6, 4, 2]",第4050回,,,,,
2015-01-05,"[0, 2, 5]",第4051回,,,,,
2015-01-06,"[2, 0, 2]",第4052回,,,,,
2015-01-07,"[8, 2, 6]",第4053回,,,,,
2015-01-08,"[2, 1, 1]",第4054回,,,,,
2015-01-09,"[0, 3, 1]",第4055回,,,,,
2015-01-12,"[7, 6, 3]",第4056回,,,,,
2015-01-13,"[8, 3, 6]",第4057回,,,,,
2015-01-14,"[2, 7, 1]",第4058回,,,,,
2015-01-15,"[7, 6, 5]",第4059回,,,,,
2015-01-16,"[0, 4, 8]",第4060回,,,,,
2015-01-19,"[2, 2, 2]",第4061回,,,,,
2015-01-20,"[5, 9, 7]",第4062回,,,,,
2015-01-21,"[7, 7, 2]",第4063回,,,,,
2015-01-22,"[8, 4, 9]",第4064回,,,,,
2015-01-23,"[4, 3, 2]",第4065回,,,,,
2015-01-26,"[9, 9, 6]",第4066回,,,,,
2015-01-27,"[7, 2, 2]",第4067回,,,,,
2015-01-28,"[7, 4, 0]",第4068回,,,,,
2015-01-29,"[8, 0, 9]",第4069回,,,,,
2015-01-30,"[3, 5, 5]",第4070回,,,,,
2015-02-02,"[1, 9, 2]",第4071回,,,,,
2015-02-03,"[2, 5, 0]",第4072回,,,,,
2015-02-04,"[3, 6, 5]",第4073回,,,,,
2015-02-05,"[6, 9, 0]",第4074回,,,,,
2015-02-06,"[2, 0, 1]",第4075回,,,,,
2015-02-09,"[3, 7, 7]",第4076回,,,,,
2015-02-10,"[5, 8, 3]",第4077回,,,,,
2015-02-11,"[2, 6, 6]",第4078回,,,,,
2015-02-12,"[3, 4, 9]",第4079回,,,,,
2015-02-13,"[5, 3, 9]",第4080回,,,,,
2015-02-16,"[2, 0, 2]",第4081回,,,,,
2015-02-17,"[8, 4, 5]",第4082回,,,,,
2015-02-18,"[6, 8, 2]",第4083回,,,,,
2015-02-19,"[5, 2, 1]",第4084回,,,,,
2015-02-20,"[8, 2, 9]",第4085回,,,,,
2015-02-23,"[6, 1, 8]",第4086回,,,,,
2015-02-24,"[9, 0, 4]",第4087回,,,,,
2015-02-25,"[8, 2, 4]",第4088回,,,,,
2015-02-26,"[5, 7, 4]",第4089回,,,,,
2015-02-27,"[3, 1, 1]",第4090回,,,,,
2015-03-02,"[1, 6, 1]",第4091回,,,,,
2015-03-03,"[4, 6, 2]",第4092回,,,,,
2015-03-04,"[2, 2, 7]",第4093回,,,,,
2015-03-05,"[7, 5, 1]",第4094回,,,,,
2015-03-06,"[5, 2, 6]",第4095回,,,,,
2015-03-09,"[8, 6, 2]",第4096回,,,,,
2015-03-10,"[1, 0, 0]",第4097回,,,,,
2015-03-11,"[6, 2, 3]",第4098回,,,,,
2015-03-12,"[5, 5, 3]",第4099回,,,,,
2015-03-13,"[3, 0, 2]",第4100回,,,,,
2015-03-16,"[8, 1, 3]",第4101回,,,,,
2015-03-17,"[6, 0, 7]",第4102回,,,,,
2015-03-18,"[9, 4, 4]",第4103回,,,,,
2015-03-19,"[3, 3, 9]",第4104回,,,,,
2015-03-20,"[6, 6, 3]",第4105回,,,,,
2015-03-23,"[0, 1, 1]",第4106回,,,,,
2015-03-24,"[2, 4, 5]",第4107回,,,,,
2015-03-25,"[4, 2, 7]",第4108回,,,,,
2015-03-26,"[9, 0, 8]",第4109回,,,,,
2015-03-27,"[9, 2, 8]",第4110回,,,,,
2015-03-30,"[1, 8, 7]",第4111回,,,,,
2015-03-31,"[0, 0, 7]",第4112回,,,,,
2015-04-01,"[3, 3, 6]",第4113回,,,,,
2015-04-02,"[6, 7, 7]",第4114回,,,,,
2015-04-03,"[8, 4, 5]",第4115回,,,,,
2015-04-06,"[1, 5, 9]",第4116回,,,,,
2015-04-07,"[5, 8, 9]",第4117回,,,,,
2015-04-08,"[5, 2, 1]",第4118回,,,,,
2015-04-09,"[9, 8, 8]",第4119回,,,,,
2015-04-10,"[6, 5, 8]",第4120回,,,,,
2015-04-13,"[5, 0, 7]",第4121回,,,,,
2015-04-14,"[9, 8, 6]",第4122回,,,,,
2015-04-15,"[6, 7, 5]",第4123回,,,,,
2015-04-16,"[0, 0, 9]",第4124回,,,,,
2015-04-17,"[3, 4, 8]",第4125回,,,,,
2015-04-20,"[1, 6, 4]",第4126回,,,,,
2015-04-21,"[2, 2, 2]",第4127回,,,,,
2015-04-22,"[2, 2, 0]",第4128回,,,,,
2015-04-23,"[0, 8, 1]",第4129回,,,,,
2015-04-24,"[1, 5, 3]",第4130回,,,,,
2015-04-27,"[1, 9, 0]",第4131回,,,,,
2015-04-28,"[4, 5, 0]",第4132回,,,,,
2015-04-29,"[8, 9, 9]",第4133回,,,,,
2015-04-30,"[2, 4, 2]",第4134回,,,,,
2015-05-01,"[8, 9, 7]",第4135回,,,,,
2015-05-04,"[6, 3, 6]",第4136回,,,,,
2015-05-05,"[8, 5, 6]",第4137回,,,,,
2015-05-06,"[9, 0, 6]",第4138回,,,,,
2015-05-07,"[9, 0, 5]",第4139回,,,,,
2015-05-08,"[4, 4, 0]",第4140回,,,,,
2015-05-11,"[3, 5, 6]",第4141回,,,,,
2015-05-12,"[8, 0, 0]",第4142回,,,,,
2015-05-13,"[5, 9, 5]",第4143回,,,,,
2015-05-14,"[3, 6, 1]",第4144回,,,,,
2015-05-15,"[7, 3, 5]",第4145回,,,,,
2015-05-18,"[9, 9, 1]",第4146回,,,,,
2015-05-19,"[4, 3, 3]",第4147回,,,,,
2015-05-20,"[5, 7, 6]",第4148回,,,,,
2015-05-21,"[9, 3, 4]",第4149回,,,,,
2015-05-22,"[9, 7, 7]",第4150回,,,,,
2015-05-25,"[3, 6, 2]",第4151回,,,,,
2015-05-26,"[1, 6, 6]",第4152回,,,,,
2015-05-27,"[3, 0, 9]",第4153回,,,,,
2015-05-28,"[3, 8, 4]",第4154回,,,,,
2015-05-29,"[7, 7, 8]",第4155回,,,,,
2015-06-01,"[4, 6, 5]",第4156回,,,,,
2015-06-02,"[6, 4, 1]",第4157回,,,,,
2015-06-03,"[5, 3, 7]",第4158回,,,,,
2015-06-04,"[8, 5, 8]",第4159回,,,,,
2015-06-05,"[1, 9, 1]",第4160回,,,,,
2015-06-08,"[0, 8, 1]",第4161回,,,,,
2015-06-09,"[2, 4, 0]",第4162回,,,,,
2015-06-10,"[4, 5, 5]",第4163回,,,,,
2015-06-11,"[4, 0, 2]",第4164回,,,,,
2015-06-12,"[5, 4, 9]",第4165回,,,,,
2015-06-15,"[6, 9, 0]",第4166回,,,,,
2015-06-16,"[5, 8, 9]",第4167回,,,,,
2015-06-17,"[4, 5, 1]",第4168回,,,,,
2015-06-18,"[3, 1, 3]",第4169回,,,,,
2015-06-19,"[2, 5, 8]",第4170回,,,,,
2015-06-22,"[8, 8, 0]",第4171回,,,,,
2015-06-23,"[4, 5, 4]",第4172回,,,,,
2015-06-24,"[6, 9, 1]",第4173回,,,,,
2015-06-25,"[8, 8, 5]",第4174回,,,,,
2015-06-26,"[0, 8, 6]",第4175回,,,,,
2015-06-29,"[3, 1, 9]",第4176回,,,,,
2015-06-30,"[6, 8, 6]",第4177回,,,,,
2015-07-01,"[4, 7, 0]",第4178回,,,,,
2015-07-02,"[5, 1, 6]",第4179回,,,,,
2015-07-03,"[4, 4, 7]",第4180回,,,,,
2015-07-06,"[1, 7, 4]",第4181回,,,,,
2015-07-07,"[0, 9, 7]",第4182回,,,,,
2015-07-08,"[5, 8, 3]",第4183回,,,,,
2015-07-09,"[5, 9, 0]",第4184回,,,,,
2015-07-10,"[8, 1, 8]",第4185回,,,,,
2015-07-13,"[7, 2, 1]",第4186回,,,,,
2015-07-14,"[2, 7, 9]",第4187回,,,,,
2015-07-15,"[0, 2, 3]",第4188回,,,,,
2015-07-16,"[3, 3, 4]",第4189回,,,,,
2015-07-17,"[5, 9, 8]",第4190回,,,,,
2015-07-20,"[8, 4, 4]",第4191回,,,,,
2015-07-21,"[8, 9, 5]",第4192回,,,,,
2015-07-22,"[0, 1, 3]",第4193回,,,,,
2015-07-23,"[3, 0, 0]",第4194回,,,,,
2015-07-24,"[4, 6, 8]",第4195回,,,,,
2015-07-27,"[2, 8, 7]",第4196回,,,,,
2015-07-28,"[0, 8, 0]",第4197回,,,,,
2015-07-29,"[4, 6, 1]",第4198回,,,,,
2015-07-30,"[4, 0, 9]",第4199回,,,,,
2015-07-31,"[0, 0, 4]",第4200回,,,,,
2015-08-03,"[3, 3, 6]",第4201回,,,,,
2015-08-04,"[9, 0, 7]",第4202回,,,,,
2015-08-05,"[2, 7, 5]",第4203回,,,,,
2015-08-06,"[4, 2, 6]",第4204回,,,,,
2015-08-07,"[8, 0, 2]",第4205回,,,,,
