抽せん日,本数字,回別,ストレート,ボックス,セット(ストレート),セット(ボックス),ミニ
1996-08-30,"[8, 8, 2]",第185回,,,,,
1996-09-03,"[4, 3, 9]",第186回,,,,,
1996-09-06,"[9, 7, 5]",第187回,,,,,
1996-09-10,"[2, 5, 4]",第188回,,,,,
1996-09-13,"[1, 9, 9]",第189回,,,,,
1996-09-17,"[1, 7, 0]",第190回,,,,,
1996-09-20,"[4, 2, 4]",第191回,,,,,
1996-09-24,"[0, 2, 1]",第192回,,,,,
1996-09-27,"[6, 5, 6]",第193回,,,,,
1996-10-01,"[8, 1, 2]",第194回,,,,,
1996-10-04,"[8, 1, 9]",第195回,,,,,
1996-10-08,"[9, 0, 7]",第196回,,,,,
1996-10-11,"[7, 2, 8]",第197回,,,,,
1996-10-15,"[3, 7, 4]",第198回,,,,,
1996-10-18,"[2, 6, 9]",第199回,,,,,
1996-10-22,"[4, 1, 1]",第200回,,,,,
1996-10-25,"[1, 7, 6]",第201回,,,,,
1996-10-29,"[6, 7, 6]",第202回,,,,,
1996-11-01,"[0, 9, 3]",第203回,,,,,
1996-11-05,"[2, 1, 1]",第204回,,,,,
1996-11-08,"[5, 3, 1]",第205回,,,,,
1996-11-12,"[9, 3, 8]",第206回,,,,,
1996-11-15,"[4, 1, 3]",第207回,,,,,
1996-11-19,"[7, 8, 1]",第208回,,,,,
1996-11-22,"[9, 2, 0]",第209回,,,,,
1996-11-26,"[1, 9, 2]",第210回,,,,,
1996-11-29,"[0, 2, 2]",第211回,,,,,
1996-12-03,"[1, 5, 1]",第212回,,,,,
1996-12-06,"[5, 0, 2]",第213回,,,,,
1996-12-10,"[8, 7, 0]",第214回,,,,,
1996-12-13,"[2, 1, 5]",第215回,,,,,
1996-12-17,"[3, 3, 7]",第216回,,,,,
1996-12-20,"[7, 1, 2]",第217回,,,,,
1996-12-24,"[5, 9, 4]",第218回,,,,,
1996-12-27,"[2, 6, 0]",第219回,,,,,
1997-01-07,"[1, 1, 2]",第220回,,,,,
1997-01-10,"[5, 1, 4]",第221回,,,,,
1997-01-14,"[2, 2, 7]",第222回,,,,,
1997-01-17,"[3, 3, 3]",第223回,,,,,
1997-01-21,"[4, 6, 6]",第224回,,,,,
1997-01-24,"[7, 5, 1]",第225回,,,,,
1997-01-28,"[9, 5, 2]",第226回,,,,,
1997-01-31,"[1, 8, 8]",第227回,,,,,
1997-02-04,"[0, 1, 4]",第228回,,,,,
1997-02-07,"[4, 0, 9]",第229回,,,,,
1997-02-11,"[3, 8, 3]",第230回,,,,,
1997-02-14,"[5, 2, 3]",第231回,,,,,
1997-02-18,"[9, 4, 5]",第232回,,,,,
1997-02-21,"[0, 6, 5]",第233回,,,,,
1997-02-25,"[3, 1, 7]",第234回,,,,,
1997-02-28,"[5, 8, 2]",第235回,,,,,
1997-03-04,"[8, 3, 0]",第236回,,,,,
1997-03-07,"[6, 4, 8]",第237回,,,,,
1997-03-11,"[4, 1, 4]",第238回,,,,,
1997-03-14,"[7, 4, 1]",第239回,,,,,
1997-03-18,"[2, 2, 9]",第240回,,,,,
1997-03-21,"[4, 0, 0]",第241回,,,,,
1997-03-25,"[0, 6, 6]",第242回,,,,,
1997-03-28,"[6, 0, 8]",第243回,,,,,
1997-04-01,"[1, 4, 0]",第244回,,,,,
1997-04-04,"[8, 2, 7]",第245回,,,,,
1997-04-08,"[5, 9, 3]",第246回,,,,,
1997-04-11,"[5, 3, 7]",第247回,,,,,
1997-04-15,"[1, 9, 3]",第248回,,,,,
1997-04-18,"[6, 2, 4]",第249回,,,,,
1997-04-22,"[1, 8, 0]",第250回,,,,,
1997-04-25,"[2, 2, 7]",第251回,,,,,
1997-04-29,"[0, 0, 4]",第252回,,,,,
1997-05-02,"[6, 1, 6]",第253回,,,,,
1997-05-06,"[2, 3, 8]",第254回,,,,,
1997-05-09,"[7, 7, 0]",第255回,,,,,
1997-05-13,"[0, 8, 8]",第256回,,,,,
1997-05-16,"[9, 3, 5]",第257回,,,,,
1997-05-20,"[4, 4, 7]",第258回,,,,,
1997-05-23,"[2, 1, 6]",第259回,,,,,
1997-05-27,"[0, 6, 1]",第260回,,,,,
1997-05-30,"[5, 9, 6]",第261回,,,,,
1997-06-03,"[0, 4, 2]",第262回,,,,,
1997-06-06,"[8, 3, 9]",第263回,,,,,
1997-06-10,"[3, 6, 2]",第264回,,,,,
1997-06-13,"[9, 2, 8]",第265回,,,,,
1997-06-17,"[9, 7, 2]",第266回,,,,,
1997-06-20,"[0, 9, 3]",第267回,,,,,
1997-06-24,"[0, 2, 4]",第268回,,,,,
1997-06-27,"[7, 8, 2]",第269回,,,,,
1997-07-01,"[7, 9, 3]",第270回,,,,,
1997-07-04,"[8, 2, 3]",第271回,,,,,
1997-07-08,"[7, 8, 3]",第272回,,,,,
1997-07-11,"[5, 2, 6]",第273回,,,,,
1997-07-15,"[8, 5, 4]",第274回,,,,,
1997-07-18,"[8, 0, 6]",第275回,,,,,
1997-07-22,"[3, 8, 5]",第276回,,,,,
1997-07-25,"[6, 3, 2]",第277回,,,,,
1997-07-29,"[8, 7, 7]",第278回,,,,,
1997-08-01,"[8, 9, 1]",第279回,,,,,
1997-08-05,"[3, 2, 6]",第280回,,,,,
1997-08-08,"[9, 0, 7]",第281回,,,,,
1997-08-12,"[7, 4, 3]",第282回,,,,,
1997-08-15,"[9, 4, 0]",第283回,,,,,
1997-08-19,"[5, 8, 8]",第284回,,,,,
1997-08-22,"[7, 6, 0]",第285回,,,,,
1997-08-26,"[2, 7, 2]",第286回,,,,,
1997-08-29,"[9, 2, 5]",第287回,,,,,
1997-09-02,"[1, 4, 4]",第288回,,,,,
1997-09-05,"[8, 3, 8]",第289回,,,,,
1997-09-09,"[1, 6, 7]",第290回,,,,,
1997-09-12,"[0, 8, 5]",第291回,,,,,
1997-09-16,"[7, 3, 7]",第292回,,,,,
1997-09-19,"[6, 6, 3]",第293回,,,,,
1997-09-23,"[1, 0, 7]",第294回,,,,,
1997-09-26,"[0, 7, 5]",第295回,,,,,
1997-09-30,"[8, 8, 0]",第296回,,,,,
1997-10-03,"[1, 4, 4]",第297回,,,,,
1997-10-06,"[1, 0, 4]",第298回,,,,,
1997-10-08,"[1, 5, 5]",第299回,,,,,
1997-10-10,"[1, 2, 6]",第300回,,,,,
1997-10-13,"[3, 3, 0]",第301回,,,,,
1997-10-15,"[0, 0, 1]",第302回,,,,,
1997-10-17,"[4, 9, 7]",第303回,,,,,
1997-10-20,"[3, 9, 9]",第304回,,,,,
1997-10-22,"[3, 6, 7]",第305回,,,,,
1997-10-24,"[7, 4, 8]",第306回,,,,,
1997-10-27,"[6, 9, 0]",第307回,,,,,
1997-10-29,"[5, 1, 9]",第308回,,,,,
